fold,RMSE,MAE,R2,MAPE
1,0.5676190763524807,0.39194873319785184,0.6225499632267522,63.495186116108826
2,0.5966789067939084,0.42264971657503775,0.63244356953912,49.49287986124214
3,0.49798192346517445,0.37438018653293076,0.6514588498704115,74.37527291676773
4,0.5323029238715886,0.366590797641767,0.6381983021436861,39.79881580225215
5,0.4418822226532143,0.3024519610859893,0.661633132557361,42.40913593493949
6,0.5006090234326962,0.3473020954535207,0.6608648048206147,37.2087045677555
7,0.44035936255179015,0.30378509140044413,0.612855936482253,40.26638679351572
