variant,n_features,RMSE,MAE,R2,MAPE,delta_rmse,pct_degradation
Full (69 features),69,0.4401581765022295,0.30083877523706665,0.615607208042227,39.35722404731602,0.0,0.0
No lag features (13 remain),13,0.5082489361655647,0.36477727323101194,0.4874802045495422,51.80000214762812,0.06809075966333517,15.469611448417629
No rolling features (63 remain),63,0.4393166849286684,0.30201336414380886,0.6170755624434257,39.71190023087269,-0.000841491573561115,-0.19117935744102954
No time features (62 remain),62,0.4553661419406031,0.3126814885179355,0.5885859112064857,41.29638027757297,0.015207965438373605,3.4551136955413515
