Model,RMSE,MAE,R2,MAPE
Lag-1 Persistence,0.585166634749726,0.38675880934912477,0.3206136790002272,46.42581685807479
Random Forest,0.45810014673859123,0.3155830440898142,0.5836308447401384,42.73616369233878
XGBoost (default),0.4401581765022295,0.30083877523706665,0.615607208042227,39.35722404731602
"LSTM (multivariate, 2-layer)",0.558595280919007,0.40044627378382347,0.38091224746462005,53.67267999514974
"GRU  (multivariate, 2-layer)",0.5626986397558159,0.39865930859877324,0.3717833852403041,52.17198351940314
