fold,RMSE,MAE,R2,MAPE
1,0.5912021915226158,0.41482466511849125,0.5905342533448199,71.71126782830144
2,0.6194452232051414,0.4426081210389739,0.6038602063471965,52.82487609356355
3,0.5017010732774144,0.35577125711633933,0.6462332893569194,63.655510593940114
4,0.5530201093538656,0.3823822943173273,0.609487675512524,43.214891991671706
5,0.4672335399075439,0.3303435186990604,0.6216943806413868,50.82918082912814
6,0.5241958234455137,0.36545102463461293,0.6281544156267217,41.50718163437586
7,0.45035966709866365,0.3090705941232808,0.5950726472372084,42.59217523468977
